[fit LOOCV KRR]: 0.020804964005947113, Target Domain: NORWAY_3, 'AugKRR_MSE': 0.005141945143527752, 'AugKRR_selectedgamma': 1.932512584904659, 'AugKRR_selectedbest_alpha': 1.0}
[fit LOOCV KRR]: 0.0054468799935420975, Target Domain: NORWAY_4, 'AugKRR_MSE': 0.03927315116449142, 'AugKRR_selectedgamma': 4.163197597005679, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.0057989710039692, Target Domain: NORWAY_5, 'AugKRR_MSE': 0.011099736037746943, 'AugKRR_selectedgamma': 2.7298753839441585, 'AugKRR_selectedbest_alpha': 0.5}
[fit LOOCV KRR]: 0.005542864993913099, Target Domain: NORWAY_6, 'AugKRR_MSE': 0.01167779554935147, 'AugKRR_selectedgamma': 2.5798057999680983, 'AugKRR_selectedbest_alpha': 0.125}
[fit LOOCV KRR]: 0.006018138999934308, Target Domain: NORWAY_7, 'AugKRR_MSE': 0.012845554926545348, 'AugKRR_selectedgamma': 1.4050120657137402, 'AugKRR_selectedbest_alpha': 0.0625}
[fit LOOCV KRR]: 0.008113750009215437, Target Domain: NORWAY_8, 'AugKRR_MSE': 0.005850929573794816, 'AugKRR_selectedgamma': 0.9679770751942537, 'AugKRR_selectedbest_alpha': 1.0}
[fit LOOCV KRR]: 0.006539239009725861, Target Domain: NORWAY_9, 'AugKRR_MSE': 0.053504459128484706, 'AugKRR_selectedgamma': 5.966266521618232, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005567936997977085, Target Domain: NORWAY_0, 'AugKRR_MSE': 0.008652104738353521, 'AugKRR_selectedgamma': 1.5085514340415516, 'AugKRR_selectedbest_alpha': 0.5}
[fit LOOCV KRR]: 0.009837781995884143, Target Domain: SPAIN_1, 'AugKRR_MSE': 0.014709250769341303, 'AugKRR_selectedgamma': 0.22627327714107157, 'AugKRR_selectedbest_alpha': 0.03125}
[fit LOOCV KRR]: 0.0055700950033497065, Target Domain: SPAIN_2, 'AugKRR_MSE': 0.03493275371596765, 'AugKRR_selectedgamma': 0.882440473424764, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005673245002981275, Target Domain: SPAIN_3, 'AugKRR_MSE': 0.014439714034097535, 'AugKRR_selectedgamma': 0.3437108552743534, 'AugKRR_selectedbest_alpha': 0.0078125}
[fit LOOCV KRR]: 0.0057875779893947765, Target Domain: SPAIN_4, 'AugKRR_MSE': 0.01494578588386888, 'AugKRR_selectedgamma': 0.20780316123838524, 'AugKRR_selectedbest_alpha': 0.03125}
[fit LOOCV KRR]: 0.010691910007153638, Target Domain: SPAIN_5, 'AugKRR_MSE': 0.03227869723689008, 'AugKRR_selectedgamma': 0.2947262018374508, 'AugKRR_selectedbest_alpha': 0.03125}
